Member of Cabinet,Written,Question No,Date Published,Date Replied,Timeousness
President ,Written,923,41404,41954,very late
Basic Education,Written,941,41404,41424,late
Basic Education,Written,942,41404,41788,late
President ,Written,943,41404,41512,very late
Correctional Services,Written,948,41404,41795,late
Correctional Services,Written,949,41404,41795,late
Correctional Services,Written,950,41404,41892,very late
Correctional Services,Written,953,41404,41857,very late
Agriculture,Written,960,41404,41416,on time
Arts,Written,961,41404,41484,very late
Basic Education,Written,962,41404,41498,very late
Communications,Written,963,41404,41534,very late
COGTA,Written,964,41404,41787,Late
Correctional Services,Written,965,41404,41857,very late
Arts,Written,990,41404,41431,late
Agriculture,Written,1021,41404,41415,on time
Agriculture,Written,1022,41404,41415,on time
Agriculture,Written,1024,41404,41416,on time
Agriculture,Written,1025,41404,41415,on time
Agriculture,Written,1026,41404,41417,on time
COGTA,Written,1040,41404,41796,Late
Basic Education,Written,1047,41411,41478,very late
Basic Education,Written,1066,41411,41499,very late
Basic Education,Written,1067,41411,41431,late
Basic Education,Written,1068,41411,41431,late
Communications,Written,1071,41411,41533,very late
Agriculture,Written,1082,41411,41436,late
Arts,Written,1083,41411,41543,very late
Basic Education,Written,1084,41411,41478,very late
Communications,Written,1085,41411,41534,very late
COGTA,Written,1086,41411,41871,very late
Correctional Services,Written,1087,41411,41893,very late
Agriculture,Written,1114,41411,41436,late
Arts,Written,1115,41411,41463,very late
Basic Education,Written,1116,41411,41430,late
Communications,Written,1117,41411,41534,very late
COGTA,Written,1118,41411,41830,very late
Correctional Services,Written,1119,41411,41905,very late
President ,Written,1146,41411,41990,very late
Agriculture,Written,1147,41411,41418,on time
Basic Education,Written,1159,41411,41431,late
Communications,Written,1167,41411,41534,very late
Communications,Written,1168,41411,41534,very late
Communications,Written,1173,41411,41533,very late
Communications,Written,1181,41418,41533,very late
Basic Education,Written,1182,41418,41443,late
Arts,Written,1189,41418,41484,very late
Arts,Written,1190,41418,41463,late
Basic Education,Written,1195,41418,41431,on time
Basic Education,Written,1196,41418,41445,late
Basic Education,Written,1197,41418,41430,on time
Communications,Written,1205,41418,41491,very late
Communications,Written,1206,41418,41491,very late
Communications,Written,1207,41418,41491,very late
Agriculture,Written,1217,41418,41423,on time
Arts,Written,1218,41418,41457,late
Basic Education,Written,1219,41418,41430,on time
Communications,Written,1220,41418,41533,very late
COGTA,Written,1221,41418,41796,on time 
Correctional Services,Written,1222,41418,41816,late
Basic Education,Written,1265,41418,41437,late
Deputy President,Written,1279,41425,41492,very late
President ,Written,1289,41425,41500,very late
Communications,Written,1290,41425,41533,very late
Communications,Written,1291,41425,41533,very late
Basic Education,Written,1301,41425,41443,late
Basic Education,Written,1302,41425,41443,late
Basic Education,Written,1303,41425,41445,late
Basic Education,Written,1304,41425,41478,late
Basic Education,Written,1305,41425,41445,late
Basic Education,Written,1306,41425,41443,late
Agriculture,Written,1314,41425,41436,on time
Arts,Written,1315,41425,41521,very late
Basic Education,Written,1316,41425,41463,late
Communications,Written,1317,41425,41533,very late
COGTA,Written,1318,41425,41830,Late
Correctional Services,Written,1319,41425,41816,late
Agriculture,Written,1359,41425,41446,late
Agriculture,Written,1360,41425,41446,late
Basic Education,Written,1364,41425,41463,late
Communications,Written,1365,41425,41533,very late
Communications,Written,1366,41425,41533,very late
Communications,Oral,143,41430,41439,on time
Agriculture,Oral,146,41430,41431,On time
Communications,Oral,147,41430,41439,on time
Communications,Oral,148,41430,41439,on time
Communications,Oral,167,41430,41439,on time
Agriculture,Oral,177,41430,41431,On time
Agriculture,Oral,178,41430,41431,On time
Agriculture,Oral,182,41430,41431,On time
Agriculture,Oral,185,41430,41431,On time
Agriculture,Oral,192,41430,41431,On time
Agriculture,Oral,193,41430,41431,On time
Communications,Oral,197,41430,41439,on time
Communications,Oral,198,41430,41439,on time
Correctional Services,Written,1370,41432,41857,very late
Basic Education,Written,1387,41432,41459,late
Basic Education,Written,1388,41432,41478,very late
Basic Education,Written,1389,41432,41457,very late
Agriculture,Written,1406,41432,41439,on time
Arts,Written,1407,41432,41486,very late
Basic Education,Written,1408,41432,41457,very late
Communications,Written,1409,41432,41491,very late
COGTA,Written,1410,41432,41948,very late
Correctional Services,Written,1411,41432,41857,very late
Agriculture,Written,1440,41432,41436,on time
Communications,Written,1452,41432,41533,very late
Communications,Written,1453,41432,41534,very late
Basic Education,Written,1457,41432,41501,very late
Basic Education,Written,1459,41432,41457,very late
Correctional Services,Written,1460,41432,41857,very late
Basic Education,Written,1466,41439,41520,very late
Correctional Services,Written,1476,41439,41857,very late
COGTA,Written,1485,41439,41871,very late
Basic Education,Written,1487,41439,41501,very late
Basic Education,Written,1488,41439,41478,late
Basic Education,Written,1489,41439,41457,late
President ,Written,1517,41439,41500,very late
Communications,Written,1520,41439,41534,very late
Communications,Written,1522,41439,41534,very late
President ,Written,1531,41439,41500,very late
President ,Oral,7,41444,41444,on time
President ,Oral,8,41444,41444,on time
President ,Oral,9,41444,41444,on time
President ,Oral,10,41444,41444,on time
President ,Oral,11,41444,41444,on time
President ,Oral,12,41444,41444,on time
Arts,Written,1545,41446,41486,late
COGTA,Written,1547,41446,41871,very late
Basic Education,Written,1564,41446,41478,late
Basic Education,Written,1565,41446,41478,late
Basic Education,Written,1566,41446,41463,late
Basic Education,Written,1569,41446,41463,late
Basic Education,Written,1570,41446,41478,late
Agriculture,Written,1578,41446,41456,on time
Agriculture,Written,1579,41446,41446,on time
Communications,Written,1593,41446,41534,very late
COGTA,Written,1594,41446,41871,very late
COGTA,Written,1595,41446,41871,very late
Basic Education,Written,1596,41446,41463,late
Basic Education,Written,1597,41446,41478,late
Basic Education,Written,1598,41446,41485,late
Agriculture,Written,1647,41446,41464,late
Communications,Written,1659,41446,41534,very late
Communications,Written,1660,41446,41534,very late
Correctional Services,Written,1672,41481,41877,late
Correctional Services,Written,1673,41481,41877,late
Correctional Services,Written,1674,41481,41877,late
Basic Education,Written,1680,41481,41885,late
Basic Education,Written,1681,41481,41501,late
Basic Education,Written,1682,41481,41516,late
President ,Written,1683,41481,41565,very late
Basic Education,Written,1689,41481,41512,late
Basic Education,Written,1690,41481,41516,late
Communications,Written,1696,41481,41568,very late
Communications,Written,1698,41481,41533,very late
Communications,Written,1699,41481,41530,very late
Agriculture,Written,1704,41481,41492,on time
COGTA,Written,1726,41481,41944,very late
President ,Written,1745,41481,41571,very late
Agriculture,Written,1750,41481,41492,on time
Arts,Written,1751,41481,41502,late
Basic Education,Written,1752,41481,41501,late
Communications,Written,1753,41481,41530,very late
COGTA,Written,1754,41481,41873,Late
Correctional Services,Written,1755,41481,41879,late
Agriculture,Written,1784,41481,41498,late
Arts,Written,1785,41481,41502,late
Basic Education,Written,1786,41481,41501,late
Communications,Written,1787,41481,41533,very late
COGTA,Written,1788,41481,41922,very late
Correctional Services,Written,1789,41481,41877,late
Agriculture,Written,1817,41481,41498,late
Basic Education,Written,1819,41481,41501,late
Communications,Written,1820,41481,41530,very late
COGTA,Written,1821,41481,41922,very late
Correctional Services,Written,1822,41481,41894,very late
Communications,Written,1847,41481,41534,very late
Agriculture,Written,1849,41481,41498,late
Agriculture,Written,1852,41481,41492,on time
Agriculture,Written,1853,41481,41492,on time
Agriculture,Written,1854,41481,41492,on time
Arts,Written,1858,41481,41520,late
President ,Written,1860,41481,41575,very late
President ,Written,1861,41481,41509,late
COGTA,Written,1863,41481,41873,Late
President ,Written,1867,41481,41954,very late
Agriculture,Written,1872,41488,41501,on time
Correctional Services,Written,1882,41488,41887,late
Correctional Services,Written,1883,41488,41887,late
Correctional Services,Written,1884,41488,41877,late
Agriculture,Written,1902,41488,41520,late
Arts,Written,1903,41488,41543,very late
Basic Education,Written,1904,41488,41542,very late
Communications,Written,1905,41488,41568,very late
COGTA,Written,1906,41488,41934,very late
Correctional Services,Written,1907,41488,41977,very late
Basic Education,Written,1941,41488,41520,late
Basic Education,Written,1942,41488,41520,late
Basic Education,Written,1943,41488,41512,late
Agriculture,Written,1948,41488,41498,on time
Agriculture,Written,1949,41488,41501,on time
Agriculture,Written,1950,41488,41501,on time
Agriculture,Written,1960,41488,41501,on time
Agriculture,Written,1975,41494,41508,on time
Agriculture,Written,1994,41494,41501,on time
Correctional Services,Written,1995,41494,41894,late
Correctional Services,Written,1996,41494,41887,late
Basic Education,Written,1999,41494,41520,late
Basic Education,Written,2000,41494,41512,late
Basic Education,Written,2001,41494,41520,late
President ,Written,2002,41494,41579,very late
Deputy President,Written,2003,41494,41501,on time
COGTA,Written,2006,41494,41934,very late
President ,Written,2010,41494,41509,on time
Basic Education,Written,2011,41494,41520,late
COGTA,Written,2017,41494,41908,very late
Basic Education,Written,2018,41494,41516,late
Correctional Services,Written,2025,41502,41892,late
Communications,Written,2028,41502,41530,late
Correctional Services,Written,2030,41502,41940,very late
Communications,Written,2040,41502,41534,late
Communications,Written,2041,41502,41534,late
Communications,Written,2042,41502,41530,late
Correctional Services,Written,2046,41502,41941,very late
Correctional Services,Written,2047,41502,41879,on time
Correctional Services,Written,2048,41502,41901,late
Basic Education,Written,2056,41502,41520,late
Basic Education,Written,2057,41502,41520,late
Basic Education,Written,2058,41502,41519,late
Basic Education,Written,2062,41502,41516,on time
Agriculture,Written,2085,41502,41515,on time
Agriculture,Written,2089,41502,41508,on time
Arts,Written,2090,41502,41530,late
Basic Education,Written,2091,41502,41520,late
Communications,Written,2092,41502,41530,late
COGTA,Written,2093,41502,41922,very late
Correctional Services,Written,2094,41502,41940,very late
Agriculture,Written,2122,41502,41530,late
Arts,Written,2123,41502,41528,late
Basic Education,Written,2124,41502,41520,late
Communications,Written,2125,41502,41554,very late
COGTA,Written,2126,41502,41922,very late
Correctional Services,Written,2127,41502,41941,very late
COGTA,Written,2157,41502,41962,very late
Communications,Written,2165,41502,41568,very late
Communications,Written,2166,41502,41534,late
Deputy President,Oral,9,41507,41507,on time
Deputy President,Oral,10,41507,41507,on time
Deputy President,Oral,11,41507,41507,on time
Deputy President,Oral,12,41507,41507,on time
Communications,Written,2179,41509,41555,very late
Communications,Written,2181,41509,41534,late
Basic Education,Written,2183,41509,41529,late
COGTA,Written,2184,41509,41922,very late
Correctional Services,Written,2190,41509,41892,late
Correctional Services,Written,2191,41509,41887,on time
Correctional Services,Written,2192,41509,41887,on time
Basic Education,Written,2204,41509,41520,on time
Basic Education,Written,2205,41509,41534,late
Basic Education,Written,2206,41509,41529,late
Communications,Written,2215,41509,41533,late
Agriculture,Written,2227,41509,41516,on time
Deputy President,Written,2229,41509,41519,on time
President ,Written,2233,41509,41571,very late
President ,Written,2238,41509,41571,very late
Arts,Written,2250,41509,41543,late
Correctional Services,Written,2253,41509,41901,late
Basic Education,Written,2255,41509,41520,on time
Basic Education,Written,2256,41509,41520,on time
Basic Education,Written,2257,41509,41520,on time
Basic Education,Written,2260,41509,41534,late
Communications,Written,2263,41509,41534,late
COGTA,Written,2270,41509,41961,very late
Basic Education,Written,2276,41509,41534,late
President ,Written,2277,41509,41582,very late
President ,Written,2278,41509,41565,very late
Basic Education,Written,2279,41509,41529,late
Basic Education,Written,2280,41509,41547,late
Basic Education,Written,2283,41509,41520,on time
Basic Education,Written,2284,41509,41530,late
COGTA,Written,2286,41509,41934,very late
Basic Education,Written,2287,41509,41520,on time
Basic Education,Oral,242,41528,41529,on time
Basic Education,Oral,243,41528,41529,on time
Basic Education,Oral,244,41528,41529,on time
Basic Education,Oral,245,41528,41529,on time
Basic Education,Oral,247,41528,41529,on time
Basic Education,Oral,248,41528,41529,on time
Arts,Oral,252,41528,41947,late
Basic Education,Oral,263,41528,41529,on time
Basic Education,Oral,264,41528,41529,on time
Arts,Oral,274,41528,41900,late
Arts,Oral,275,41528,41900,late
Basic Education,Oral,277,41528,41529,on time
Basic Education,Oral,280,41528,41529,on time
Arts,Oral,287,41528,41947,late
Arts,Oral,288,41528,41900,late
Communications,Written,2291,41530,41534,on time
Correctional Services,Written,2297,41530,41940,very late
Communications,Written,2298,41530,41554,late
Basic Education,Written,2299,41530,41922,late
COGTA,Written,2300,41530,41962,very late
Correctional Services,Written,2302,41530,41942,very late
COGTA,Written,2303,41530,41934,Late
Correctional Services,Written,2304,41530,41950,very late
Basic Education,Written,2308,41530,41549,late
Basic Education,Written,2309,41530,41948,very late
Basic Education,Written,2310,41530,41926,late
President ,Written,2318,41530,41571,late
President ,Written,2326,41530,41582,very late
Basic Education,Written,2329,41530,41922,late
Basic Education,Written,2330,41530,41922,late
Basic Education,Written,2331,41530,41927,late
Basic Education,Written,2332,41530,41534,on time
President ,Written,2335,41530,41565,late
Basic Education,Written,2341,41530,41534,on time
Basic Education,Written,2342,41530,41534,on time
Basic Education,Written,2348,41530,41549,late
Agriculture,Written,2352,41530,41555,late
Communications,Written,2364,41530,41554,late
Communications,Written,2365,41530,41554,late
COGTA,Written,2367,41530,41962,very late
Basic Education,Written,2372,41537,41927,late
Basic Education,Written,2373,41537,41948,very late
Basic Education,Written,2374,41537,41922,late
Correctional Services,Written,2375,41537,41940,late
Basic Education,Written,2381,41537,41922,late
President ,Written,2383,41537,41579,late
President ,Written,2389,41537,41579,late
President ,Written,2390,41537,41565,late
Correctional Services,Written,2399,41537,41940,late
COGTA,Written,2406,41537,41950,very late
COGTA,Written,2409,41537,41934,very late
COGTA,Written,2410,41537,41947,very late
COGTA,Written,2412,41537,41949,very late
Correctional Services,Written,2413,41537,41940,late
Agriculture,Written,2425,41537,41569,late
Agriculture,Written,2426,41537,41549,on time
President ,Written,2439,41537,41565,late
Communications,Written,2440,41537,41554,on time
Communications,Written,2441,41537,41962,very late
Communications,Written,2442,41537,41582,very late
Basic Education,Written,2461,41537,41549,on time
Basic Education,Written,2462,41537,41549,on time
Basic Education,Written,2463,41537,41549,on time
President ,Written,2466,41537,41565,late
President ,Written,2468,41537,41579,late
Arts,Written,2469,41537,41570,late
Arts,Written,2470,41537,41564,late
Arts,Written,2471,41537,41564,late
Arts,Written,2472,41537,41564,late
Arts,Written,2473,41537,41564,late
COGTA,Written,2478,41537,41950,very late
Basic Education,Written,2486,41537,41922,late
Communications,Written,2487,41537,41582,very late
Communications,Written,2488,41537,41568,late
Communications,Written,2489,41537,41962,very late
Agriculture,Written,2492,41537,41555,late
Basic Education,Written,2493,41537,41549,on time
Correctional Services,Written,2494,41537,41954,very late
President ,Written,2501,41537,41579,late
Communications,Written,2511,41558,41568,on time
President ,Written,2538,41558,41570,on time
Agriculture,Written,2544,41558,41582,late
Agriculture,Written,2547,41558,41582,late
Agriculture,Written,2548,41558,41578,late
COGTA,Written,2555,41558,41950,Late
COGTA,Written,2561,41558,41961,Late
Agriculture,Written,2565,41558,41582,late
Arts,Written,2566,41558,41983,very late
Communications,Written,2568,41558,41582,late
COGTA,Written,2569,41558,41962,Late
Correctional Services,Written,2570,41558,41941,late
Agriculture,Written,2599,41558,41583,late
COGTA,Written,2611,41558,41951,Late
COGTA,Written,2616,41558,41962,Late
Correctional Services,Written,2619,41558,41977,very late
Correctional Services,Written,2622,41558,41950,late
Communications,Written,2626,41558,41568,on time
Agriculture,Written,2631,41558,41583,late
Arts,Written,2632,41558,41984,very late
Communications,Written,2634,41558,41583,late
COGTA,Written,2635,41558,41950,Late
Correctional Services,Written,2636,41558,41965,late
Communications,Written,2660,41558,41582,late
Communications,Written,2661,41558,41962,late
Communications,Written,2662,41558,41962,late
Communications,Written,2663,41558,41569,on time
Arts,Written,2664,41558,41963,late
COGTA,Written,2665,41558,41950,Late
Arts,Written,2668,41558,41582,late
COGTA,Written,2671,41558,41950,Late
Communications,Written,2683,41558,41568,on time
Communications,Written,2684,41558,41568,on time
Communications,Written,2689,41558,41582,late
COGTA,Written,2690,41558,41961,Late
Agriculture,Written,2695,41558,41583,late
Agriculture,Written,2696,41558,41582,late
Correctional Services,Written,2708,41558,41950,late
COGTA,Written,2711,41558,41950,Late
President ,Written,2737,41565,41579,on time
COGTA,Written,2740,41565,41947,Late
Agriculture,Written,2741,41565,41578,on time
President ,Written,2747,41565,41579,on time
Arts,Written,2758,41565,41963,late
